geneID_A	geneID_B	origins
5709	7979	Lit-BM-13|HI-union
5692	5709	CoFrac|QUBIC
5709	10213	CoFrac|QUBIC
5709	5718	BioPlex|CoFrac
5709	5713	BioPlex|CoFrac
5709	5711	BioPlex|CoFrac
5693	5709	CoFrac|QUBIC
5704	5705	Lit-BM-13|BioPlex|HI-union|CoFrac
5704	5706	BioPlex|CoFrac
5704	5707	BioPlex|CoFrac
5700	5704	BioPlex|CoFrac|QUBIC
5701	5704	BioPlex|CoFrac
5702	5704	Lit-BM-13|BioPlex|CoFrac
5704	11047	BioPlex|CoFrac
5689	5704	BioPlex|CoFrac
5704	9861	CoFrac|QUBIC
5704	10213	CoFrac|QUBIC
5704	5718	BioPlex|CoFrac
5704	5717	BioPlex|CoFrac
5704	5716	Lit-BM-13|BioPlex|HI-union|CoFrac
5704	5713	BioPlex|CoFrac
5704	5711	BioPlex|CoFrac
5693	5704	CoFrac|QUBIC
5705	5706	BioPlex|HI-union|CoFrac
5705	5707	BioPlex|CoFrac
5700	5705	BioPlex|CoFrac|QUBIC
5701	5705	BioPlex|CoFrac
5702	5705	Lit-BM-13|BioPlex|CoFrac
5705	11047	BioPlex|CoFrac
5705	9861	BioPlex|CoFrac|QUBIC
5082	5705	BioPlex|HI-union
5692	5705	CoFrac|QUBIC
5705	10213	BioPlex|CoFrac|QUBIC
5705	220134	BioPlex|HI-union|QUBIC
5705	5719	BioPlex|CoFrac
5705	5718	BioPlex|CoFrac
5705	5717	BioPlex|CoFrac
5705	5716	BioPlex|CoFrac
5705	5713	BioPlex|CoFrac
5705	5711	BioPlex|CoFrac
5705	5710	BioPlex|CoFrac
5693	5705	CoFrac|QUBIC
5700	5706	BioPlex|CoFrac|QUBIC
5702	5706	BioPlex|HI-union|CoFrac
5706	11047	BioPlex|CoFrac
5706	9861	CoFrac|QUBIC
5692	5706	CoFrac|QUBIC
5706	10213	CoFrac|QUBIC
5706	5718	BioPlex|CoFrac
5706	5715	BioPlex|HI-union|CoFrac
5706	5711	BioPlex|CoFrac
5693	5706	CoFrac|QUBIC
5700	5707	BioPlex|CoFrac|QUBIC
5702	5707	BioPlex|CoFrac
5707	11047	Lit-BM-13|BioPlex|CoFrac
5689	5707	BioPlex|CoFrac
5707	9861	CoFrac|QUBIC
5692	5707	CoFrac|QUBIC
5707	10213	CoFrac|QUBIC
5707	5718	BioPlex|CoFrac
5707	5713	BioPlex|CoFrac
5707	51377	BioPlex|CoFrac
5693	5707	CoFrac|QUBIC
5700	5701	BioPlex|CoFrac|QUBIC
5700	5702	BioPlex|CoFrac|QUBIC
5700	11047	BioPlex|CoFrac|QUBIC
5700	9861	CoFrac|QUBIC
5692	5700	CoFrac|QUBIC
5700	10213	CoFrac|QUBIC
5700	5719	CoFrac|QUBIC
5700	5718	BioPlex|CoFrac|QUBIC
5700	5717	CoFrac|QUBIC
5700	5716	BioPlex|CoFrac|QUBIC
5700	5714	CoFrac|QUBIC
5700	5713	BioPlex|CoFrac|QUBIC
5700	5711	BioPlex|HI-union|CoFrac|QUBIC
5700	5710	CoFrac|QUBIC
5693	5700	CoFrac|QUBIC
5698	5700	BioPlex|CoFrac
5701	5702	BioPlex|CoFrac
5701	11047	BioPlex|CoFrac
5701	9861	CoFrac|QUBIC
