geneID_A	geneID_B
5339	81631
11345	126638
11345	26097
11337	84154
6389	11337
6950	11337
1121	5558
11337	55720
10455	10868
7874	85440
10146	54915
10980	150678
10713	200916
10856	84557
5813	84557
8314	8473
9733	26121
10130	84557
55677	57599
10236	11345
9140	23192
6949	8678
23637	440738
8826	64854
178	7405
8825	154796
2597	84557
10868	27005
6472	29086
57602	389421
9706	23363
8364	11345
3329	11337
23035	57599
23581	54532
5236	79876
10075	80124
3032	81631
23710	26523
9446	79876
60	81631
8878	10367
5814	7405
8661	8667
8662	8667
8663	9960
8021	84557
6472	9577
3326	81631
6141	84557
11337	23524
1152	11337
3006	81631
23113	81631
7053	81631
9527	23256
1213	84557
51720	84142
11345	391123
5565	9821
1558	84557
6635	81631
27183	29086
7405	9711
54881	84132
22863	30849
6175	84557
6118	9821
84557	497661
7186	56616
5479	27005
9474	25851
6421	84557
23239	81609
1434	10869
64087	84557
2521	23710
6187	23710
10916	23130
5884	10868
6430	11337
6428	11337
10533	84557
55342	84557
6794	51719
23710	26986
8975	56616
11198	79184
5036	79016
8833	29086
5718	51377
817	1540
7818	81631
5573	81631
80124	137886
5586	91833
10159	10868
23326	117143
11345	27339
7871	54764
10574	84557
1937	81631
5704	11337
1121	11269
4217	5565
10949	81631
1762	3043
11337	94239
9667	11345
10155	84557
3996	11345
1201	6185
51184	57599
1762	9631
8878	11140
563	54532
10980	57563
11337	51479
27332	84557
8237	23313
3091	54971
10427	84557
8471	84557
1937	11345
405	3091
7353	8266
2011	10944
2631	5198
7398	23239
6175	11337
2975	8878
23710	201163
8661	9960
64398	154796
23326	56970
23192	84557
64422	83734
213	81631
9406	10713
1121	11124
9533	79101
29889	57602
8454	10980
6194	23710
8363	23710
8453	10987
2992	11337
7874	9320
1121	23511
6122	84557
4905	9527
55505	57599
11337	54512
5690	23710
178	51100
6599	11345
10987	80204
4697	11337
3881	9101
29997	85015
5434	11345
8243	8678
3295	11337
6188	84557
9706	60496
7818	84557
9776	9821
5590	11337
4191	84557
11345	51350
6418	55593
57470	84132
9960	163590
3615	23710
7375	10465
9098	84669
5162	11337
2011	2517
51520	60673
51377	219333
7375	8237
5713	9097
2873	10980
10987	51138
6117	79443
1653	23710
10015	79876
5286	10617
6741	81631
7375	26121
23710	63891
2618	84557
5591	11345
1994	11337
11345	23048
83734	440738
60673	374454
26135	81631
2058	11345
4343	11345
6142	11337
57470	84669
4738	8975
3848	84557
1201	9520
3852	11337
11345	27332
8243	10645
3799	79443
11337	23112
8878	387338
6789	60485
11051	23710
5230	51422
11337	25782
1070	25862
292	23710
9958	100653049
29982	54504
3305	81631
3872	23710
3183	11345
11345	147409
79697	84132
7874	9338
8314	171023
9706	23710
10713	11017
1019	23710
4191	11337
6224	11337
29919	79443
1213	81631
5700	51377
213	23710
1201	9688
55119	84557
5351	11345
54461	91833
5286	6897
3184	84557
23710	79084
5052	81631
6125	84557
6634	11345
29110	79931
11337	23637
7874	8030
5704	84938
6632	23710
689	728405
4141	11345
11345	192666
79876	440738
1201	55215
10713	55352
23192	440738
81631	96459
23710	60673
5515	23710
10963	11345
6203	23710
7430	23710
2011	10087
3963	23710
10189	23710
550	1201
3178	11337
9588	84557
23710	26156
3886	11345
11338	23710
10605	219333
8452	10980
8678	51100
23710	26953
11345	23435
64175	81631
55432	81567
6143	11345
1832	23710
8218	23710
9500	26100
10868	94121
4077	23710
8367	23710
6224	84557
23710	55213
3860	84557
3315	81631
10987	26094
3312	81631
4313	81631
8237	9817
8878	83481
29927	84557
8655	91754
7375	51691
11051	11345
1121	55718
377630	728400
6125	11337
2318	83593
3881	9958
23450	84557
11337	79084
310	23710
9100	54433
10521	11345
5167	8878
5713	11047
4077	8878
23710	26135
11345	285489
8243	8975
5591	10645
9821	55054
23710	653499
10920	10980
54148	84669
3856	54726
9217	114883
8987	23710
10131	81631
57002	81631
1762	10869
6426	11345
7874	9184
8078	8975
51479	81631
11345	131578
23239	64854
4697	84557
6164	11345
1655	81631
3728	11345
1738	23710
81631	84790
9706	65263
8689	53917
10713	23020
3836	7398
8360	11337
54938	84101
3054	8314
8237	79921
10574	55054
3181	23710
6229	11345
1975	8237
7917	8266
10643	23710
5566	25862
23326	55578
10492	23710
7874	9577
6217	11337
9204	90293
10920	10987
6155	11337
5476	11345
501	79016
6134	11345
3891	9101
11186	440738
6137	84557
11345	23318
2023	11345
708	81631
5478	23710
9895	440738
4905	8775
64682	81631
832	11345
2670	11345
5352	9474
11337	84309
3891	11345
10146	23636
3872	7398
8218	81631
1201	79751
2810	23710
11337	102724594
49856	114883
55054	440738
5250	84557
2631	5591
1201	50628
9349	11337
23710	140801
6418	64854
5092	11337
6144	11337
10111	84132
3646	10868
5245	81631
23710	29896
2130	11345
10146	55319
3607	154796
8833	79016
23710	137994
1915	23710
4673	11337
10015	440738
8367	11337
10549	11345
3167	84640
8454	8945
6233	11345
10980	51133
2597	81631
1201	9894
2986	11345
63929	81631
8878	49860
11337	23350
11337	554313
5536	23239
23710	84790
539	79184
54460	84132
2734	8878
9352	51377
689	728400
498	23710
4790	81631
5347	9706
8368	11345
8237	10625
1655	23710
84557	342574
8801	10869
7322	55611
10643	11345
832	23710
3191	11337
11337	23517
8314	404734
5562	11198
10427	23710
3890	57695
5476	11337
5111	84557
642	11345
8803	10213
5289	7405
9908	55833
1315	84557
5565	51422
6181	11345
3832	79931
8363	11337
11337	23001
23710	376267
178	5565
3310	11337
81631	92609
4673	23710
6230	11345
4734	84557
1201	11218
10155	11345
689	728393
10082	11337
23710	57492
8531	11345
8314	54882
1460	79101
6280	23710
8971	11345
8667	9960
6429	84557
8270	8878
23710	26227
270	11337
9987	11345
8237	10276
7353	80124
9338	54962
5317	23710
5519	79931
8407	23710
11337	84078
1201	10985
4927	81631
3301	11345
10645	11260
8570	11337
8924	10600
9706	10767
2997	11337
23710	100526737
191	84557
9410	10713
9960	10672
11345	55054
9733	11157
8985	25851
9128	79171
7280	81631
9474	81631
7411	9924
9821	203228
11345	54431
9776	60673
5709	5713
7112	79443
11052	23710
51018	79101
8987	11337
5710	9097
3313	11337
10576	11345
7534	11345
6136	11345
9782	11345
8237	114883
213	1762
11345	23521
6202	11337
2011	5584
23192	81631
4646	8237
5704	51377
1121	11101
3607	84557
1475	54532
23710	27288
5501	84557
24148	84557
5294	7402
1540	4646
1655	11345
8237	117178
3028	81631
51035	91833
7405	84154
34	10868
11337	79228
6132	11337
64422	84557
10048	84132
5704	5713
3757	11337
8878	221154
9188	23710
29086	55757
10969	11345
3178	81631
1737	84557
5935	84557
7448	26100
55201	81631
2547	11345
158	79016
908	11345
7266	23130
7072	23710
10845	23291
10868	55700
5170	10146
3032	11345
11345	121504
6193	23710
10949	84557
3858	11345
23710	345651
5565	23031
23710	83743
444	8878
4282	11345
5641	728405
56252	84557
11345	26523
307	23710
8454	114884
29761	55958
4627	8678
9817	84557
4130	81631
23192	64422
55832	79184
10980	55643
9510	728419
3309	11345
11337	27339
3276	23710
8335	11337
1762	6723
23326	552889
1933	81631
3188	11345
1653	84557
54532	374454
11337	192666
5702	9097
6156	11345
10617	51652
983	51720
5201	9128
1399	7874
1068	25862
1643	10980
8661	57599
6950	84557
6158	11337
55054	55170
11345	54958
10987	163590
8985	11345
6921	9338
25939	81631
9667	440738
8664	9960
9474	51100
7529	84669
11345	22848
7431	8878
3852	81631
3185	81631
1973	23710
3843	81631
124739	260425
3849	11345
10130	11337
5204	9128
6176	23710
2316	85015
6631	11337
1121	5557
1121	4131
8237	9320
1201	5245
8237	192111
613	57599
22948	84557
10980	115290
51377	80227
10284	11345
10987	90293
10726	26100
23710	140576
1121	8021
3182	11345
158	7375
6135	81631
5110	84557
4736	11337
5693	9097
2997	51100
26273	79931
5289	29982
5719	9097
5036	5286
6727	23710
10558	84938
1917	84557
9908	51720
1457	8667
10868	84461
6711	23710
9706	51422
5576	84557
829	51720
51495	84557
6176	84557
8408	11140
3336	11337
23710	83452
4150	9817
178	83593
1659	219333
329	7186
9733	56257
8658	29086
5563	6786
11345	554313
5836	10869
5562	8408
2631	8878
6181	81631
11100	11345
8454	10987
9733	25804
3182	23710
5700	5713
4172	81631
3609	11337
9908	57532
154796	221937
23710	25797
5317	55062
3185	84557
11345	51247
8364	11337
1743	8975
1201	10533
1302	91833
54958	81631
8175	85015
392197	728393
55432	84321
9972	10868
10484	23710
11345	83743
9821	55255
8243	84938
6598	11345
7531	9706
7307	11345
23710	55119
5294	23710
5564	23581
6279	23710
7375	196513
3839	84132
10868	84220
801	9929
4287	83892
8667	57599
2316	55593
23243	25862
55201	83593
79016	80067
5294	5563
8318	8878
2155	51720
6191	23710
11091	11345
1832	81631
6789	84557
8924	84132
142	57602
5786	7405
6897	79876
9368	23035
114883	282991
1201	51144
11337	57819
7874	81545
4927	11337
8566	11345
3187	11345
3012	11345
3884	9958
6233	11337
1069	25862
81631	83734
9821	440738
5714	9097
89890	440738
8678	10939
2992	7405
158	9958
81631	220988
3190	81631
84078	89890
11345	22803
1660	11345
23112	84557
4131	83734
2821	11345
10342	81631
7874	79892
9128	64852
25902	84557
10575	84557
3843	79101
3030	81631
23326	93624
4436	55611
9577	23130
10935	84557
11337	161582
1937	11337
9706	11345
23710	161582
11152	55102
5930	84557
5518	23710
23291	54764
3301	84557
6194	11345
2011	7533
1654	11337
4734	81631
2731	79931
23710	51806
6421	11345
10342	11345
5984	51720
7375	9470
6142	84557
7411	9128
5930	23710
6280	84557
8464	23326
3030	11345
10016	84557
4035	9960
11337	26354
3006	11345
6124	11345
11337	203068
23326	151230
6897	79016
9733	64852
10868	25777
3030	60673
9527	9554
29086	125228
10427	11337
2318	81631
10869	85440
154796	154810
6207	11337
9706	11180
7405	9392
6389	84557
1762	7533
4670	81631
11337	100526737
9667	9821
9632	23710
6949	51100
11337	57062
4521	11345
55626	79016
5710	5713
11338	11345
1762	9520
8895	84132
5584	23710
9474	440738
10514	11345
29966	54764
27101	54764
4698	29086
81631	89890
9817	11345
9101	23326
9533	91833
11345	55119
10980	84861
874	9960
5584	11337
372	9817
9639	57599
5563	10645
509	23710
506	23710
1121	171568
11345	96459
8294	23710
11337	440738
8904	51720
6228	11337
55905	57097
8878	140597
8878	84131
9184	23710
6203	11337
1121	23636
22798	253980
3854	11345
6154	54532
3850	11345
11337	89890
3309	23710
9351	23239
1762	8801
11345	23029
8975	23197
2318	220213
7155	7405
11345	84557
11337	90121
2130	23710
5294	85015
1762	11140
9097	11047
23710	54881
1121	23683
813	84557
5250	11337
91833	219333
9817	10072
10713	54931
3868	11337
56919	57602
8065	10980
1503	81631
8678	9140
1762	51181
7534	23710
57602	257218
2194	81631
9343	23710
8924	54764
9129	10713
4670	84557
5351	11337
5250	23710
6510	373509
9318	10980
2318	54532
3305	11337
11337	92092
2309	7533
64854	440275
25862	79801
23077	57599
8237	83858
81631	112802
2932	7186
1041	11345
10869	58477
6731	8678
331	8237
3336	11345
64963	84557
7529	79931
5532	11345
7405	51065
11345	51143
7375	51690
29888	54764
84062	114883
54726	388697
8473	23291
11337	26156
2475	64223
5717	9958
85015	103910
8237	84938
9958	284677
7073	81631
4134	79443
60	11345
1121	81557
23404	84557
6950	81631
8266	55666
1828	23710
3861	11337
8975	9126
5610	11345
5286	84557
6595	126119
10212	29086
51663	85015
3326	23710
5641	728419
10146	10973
11345	345651
6146	11337
7533	91833
10635	219333
51720	84661
51631	81631
2631	114884
23130	55102
6625	11337
23710	79443
4627	85015
1915	11337
2010	79443
174	10617
6118	79443
3305	84557
2194	84557
3181	440738
25862	283373
55215	57602
8678	9126
4131	64422
5707	9097
8508	11337
10015	11345
4905	5564
9100	9908
9140	11337
23326	60496
10111	54532
10868	83858
6135	84557
5573	440738
3313	11345
5718	10213
4175	79931
3735	23710
5304	10208
6788	83593
4313	114884
5928	23710
3192	11345
4522	84557
7533	124739
8878	51495
9785	10713
1891	23710
10645	23363
6794	92335
6637	11345
7922	25862
11103	23032
5705	5713
57599	92345
476	84557
9706	23648
8878	57609
4905	8774
7874	23172
2288	2631
11337	388753
10713	64318
9318	51720
11345	220988
81631	83593
3996	23710
9821	51019
27005	65109
57602	283373
11337	51493
9202	90293
8878	319101
10146	57532
6141	11345
7405	11180
8945	25777
23019	23326
3888	23710
9817	114884
8237	23077
23032	55119
6233	84557
10772	11337
2194	11337
9584	23710
5036	29982
4928	7874
2023	11337
377630	728379
7375	57819
132320	154796
23326	127002
4620	60673
10236	23710
9817	81631
8439	11337
1152	84557
6204	11345
10197	79101
5315	23710
1121	728239
8666	9960
1503	84557
8508	8878
10594	10713
2098	79016
1933	23710
10973	51633
3959	84557
57727	81631
11337	79724
5571	8408
23405	25862
5710	51377
6637	84557
439	8266
302	23710
7398	57599
10427	79443
5094	23710
23710	60491
8678	9666
57470	81631
23239	57599
2130	11337
1654	84557
4670	11337
9895	11337
2648	23326
9577	23172
5351	84557
55213	81631
7051	23710
9128	25804
23215	23710
7818	11345
993	8945
3843	23710
1457	57599
11337	23275
9833	29086
81631	284695
10980	80344
10492	84557
23710	51350
7533	9706
5702	51377
6747	9577
3098	60673
191	11337
8368	11337
8237	26058
51366	57599
2317	220213
10549	23710
2011	23239
805	10868
9140	64422
10644	11337
9128	10471
11345	51479
6428	84557
1915	81631
6143	23710
11337	79443
321	10868
1981	8667
1982	8667
4361	8237
10483	11337
4048	79876
55596	84557
10635	57599
7053	54532
5713	5717
5713	5716
10788	84557
9188	11345
9733	84319
25862	57559
8361	11345
8678	11130
11345	84078
5706	51377
11315	29086
9817	64855
3310	11345
3959	81631
29086	84142
2597	11345
2235	84132
6134	11337
7405	25831
11345	64087
5709	9097
7150	11337
3692	11337
7203	55054
8878	90187
2739	81631
29086	79184
539	23710
22913	85015
6218	84557
11345	51493
58477	373509
56897	114884
5887	51377
7053	11345
6748	84557
6427	11345
8570	11345
2997	11345
10980	57542
9960	23504
10980	25793
3857	11337
7572	8237
8531	81631
10492	81631
7186	29110
988	11345
5565	9064
5230	29982
847	23710
10768	84132
5521	23710
23710	374454
5563	96459
57097	80344
23435	84557
55666	80124
9414	84078
10808	11337
3858	84557
11345	57062
4967	8975
6502	10980
10576	11337
10262	11345
11337	81027
4430	84557
8924	10869
2923	11345
5562	11337
6202	11345
9817	192111
23246	57599
1211	84557
55662	56957
51720	79896
5111	81631
2631	3098
2631	5036
811	11337
11337	83593
6117	9821
1653	11337
1111	8878
59349	81631
89890	114883
5496	57602
9733	57819
7334	55611
57599	57621
6132	11345
6218	11337
6128	11345
3032	23710
9577	10128
6201	23710
8761	11345
6626	11337
10521	81631
25831	54764
1828	11345
9054	9821
11345	81631
4282	81631
10869	29927
6921	9924
11337	81631
498	81631
7448	23710
223	23710
2318	54726
51350	81631
7533	64854
3320	23710
2731	9706
8408	11337
8945	10726
84557	389677
25862	51366
3315	11345
9119	81631
51720	55327
10987	84861
11345	23192
3858	11337
3884	53917
3032	84557
1828	81631
6789	11186
7874	79921
2956	11337
2547	81631
5771	51377
3891	9958
23710	54734
1121	79726
5714	10213
4839	11345
3856	84669
81631	388698
287	11345
213	11337
8359	23710
4869	81631
81631	89849
3309	11337
1201	10939
11337	92140
9782	23710
10713	55178
4691	11337
1353	8878
7277	84557
3843	373509
3184	11337
11337	283349
23710	51593
11345	56267
10980	51185
6897	60673
3848	81631
9685	84557
59	11345
5564	9706
5226	10208
6472	79184
4691	23710
7405	8662
6158	11345
3607	81631
8971	23710
2774	9960
9821	26100
10980	64708
10146	11124
3963	7398
9530	81631
64786	81631
3189	81631
2194	23710
10987	55643
81631	283349
6223	11345
217	23710
217	79876
7415	80124
3178	84557
1121	1431
5591	79016
2665	53917
11337	29926
10367	29086
1650	23710
3886	53917
9958	391123
682	373509
7531	11345
10713	219333
6633	11337
4507	84557
6723	79016
1121	4357
3884	11345
5705	51377
9184	81631
5693	84557
1786	7874
5713	51377
10885	124739
56252	81631
3609	23710
8340	23710
11337	80335
7917	8975
6389	23710
10667	85015
1121	80232
9343	84557
5836	11345
27132	55611
9825	10471
11100	84557
10146	11345
301	29761
5822	57602
1503	11337
6510	10869
9939	27005
11345	23102
1459	8667
5563	8243
6152	11337
5313	9960
498	11337
8218	11337
8975	55666
8678	9100
11345	55131
22898	84557
11337	55131
7001	23710
23239	64783
8362	11345
10606	23710
11345	57002
9024	84078
2026	84557
2288	79016
9128	51690
2521	84557
6147	11337
6631	81631
5224	51100
6125	23710
8663	8667
8367	11345
1796	23710
23581	55611
1660	23710
10314	11345
5198	51422
2312	7398
11051	81631
5565	5571
11345	64318
5518	11345
11345	24148
6432	11345
29086	116540
873	5564
5216	81631
2316	9706
8945	23291
9045	84557
8833	81631
11337	84365
10607	57602
84557	284695
10533	11345
1121	84219
2664	84557
4131	83593
10128	10869
10291	23710
5708	84938
4719	79931
7874	10869
3963	55062
51035	84669
8148	84557
10801	79016
2821	81631
11345	64422
3315	7398
51193	57599
10146	79871
80124	94160
8533	10987
3185	23710
83752	154796
2631	23193
10632	23710
8661	79876
9276	79876
7917	79184
6176	81631
7353	8975
3891	10208
9821	140775
4191	23710
25862	84101
10493	23035
84557	84790
9577	10165
8243	23130
4287	8975
81631	203068
9922	81631
10980	51514
6426	23710
5641	23710
9097	9861
1743	51720
51520	79016
6188	23710
1211	10617
3305	11345
2288	5286
6135	23710
23710	79983
84557	553115
4905	10228
9987	84557
1974	8667
4313	219333
9128	9733
805	7405
5687	9097
5536	25862
11337	51121
6194	11337
23102	23710
9821	83752
10808	23710
3191	84557
9730	10980
7431	11337
10342	11337
8402	29086
2155	23710
689	728373
5563	8079
57602	79902
2631	8408
6185	9577
11337	497661
3028	11337
1762	24140
10155	81631
6317	23710
6124	11337
689	728369
29761	83892
11345	51631
6748	23710
2631	9219
8878	10730
4174	23710
10713	23378
6597	11345
4734	11337
10291	84557
292	11345
1460	23710
6147	23710
6737	81631
10980	79699
57602	84955
1314	25862
11337	23102
26292	54726
9343	10713
9632	11337
8945	114928
4174	7874
1266	11337
9444	84749
593	11337
3963	84640
5245	11345
2317	10146
11345	26953
5034	11345
10594	81631
6709	23710
10521	11337
9525	29086
142	5562
10694	84557
26227	84557
5716	10213
56945	84557
5716	51377
6737	11345
22827	84557
1121	55234
23710	56270
3295	79876
2717	11337
11337	55299
11337	26528
3799	10208
1762	23513
8454	23291
4720	8878
5434	8237
3309	81631
6228	11345
2774	9825
11337	23020
6949	84101
5584	11345
9908	10973
2969	23710
3191	81631
1453	9706
9582	84557
1121	159090
6390	11337
224	373509
10970	11345
6202	84557
8667	8669
1739	154796
9908	57062
2631	440738
23710	64422
56252	57599
64783	84557
5052	11345
23710	157769
8975	83737
4637	23710
4670	23710
22866	79931
8294	11337
3963	9958
219	84557
1385	9706
1642	11337
10016	81631
10533	83734
11337	79736
5887	220213
23710	51495
9510	728400
6132	84557
805	9929
4131	55626
10987	64708
2288	51422
23172	51720
908	81631
7001	11337
7402	27005
5982	11345
7347	10980
10645	23192
11337	22869
6632	11345
51720	79184
2011	27005
8731	11337
23710	92609
6122	23710
11337	92609
5693	51377
6502	10987
9338	55818
1399	23710
1121	10980
51506	79876
55692	373509
2885	10617
6709	81631
63931	84132
9474	89849
224	11337
1508	57663
55920	84557
8237	220213
5984	10868
84557	139341
5304	23710
3183	84557
10574	81631
5982	10868
7874	10389
57602	134430
873	60673
9128	11017
3190	11337
8237	9533
3861	11345
5313	10208
80124	165324
11218	84557
6789	81631
8508	23710
6788	6789
324	8945
23386	90293
51720	57599
