geneID	cell_lines	descr	frac_occ	hcip_cutoff_sy5y	num_hek	num_sy5y	source	symbol	synonyms
10152	None	abl interactor 2	None	None	None	None	extended	ABI2	ABI-2|ABI2B|AIP-1|AblBP3|SSH3BP2|argBP1|argBPIA|argBPIB
29978	None	ubiquilin 2	None	None	None	None	extended	UBQLN2	ALS15|CHAP1|DSK2|HRIHFB2157|N4BP4|PLIC2
29979	None	ubiquilin 1	None	None	None	None	extended	UBQLN1	DA41|DSK2|PLIC-1|UBQN|XDRP1
23603	None	coronin 1C	None	None	None	None	extended	CORO1C	HCRNN4
6176	None	ribosomal protein lateral stalk subunit P1	None	None	None	None	extended	RPLP1	LP1|P1|RPP1
6175	None	ribosomal protein lateral stalk subunit P0	None	None	None	None	extended	RPLP0	L10E|LP0|P0|PRLP0|RPP0
10980	None	COP9 signalosome subunit 6	None	None	None	None	extended	COPS6	CSN6|MOV34-34KD
10982	None	microtubule associated protein RP/EB family member 2	None	None	None	None	extended	MAPRE2	CSCSC2|EB1|EB2|RP1
4839	None	NOP2 nucleolar protein	None	None	None	None	extended	NOP2	NOL1|NOP120|NSUN1|p120
11116	None	FGFR1 oncogene partner	None	None	None	None	extended	FGFR1OP	FOP
10213	b	proteasome 26S subunit, non-ATPase 14	1.0	95	12	2	seed	PSMD14	PAD1|POH1|RPN11
4791	None	nuclear factor kappa B subunit 2	None	None	None	None	extended	NFKB2	CVID10|H2TF1|LYT-10|LYT10|NF-kB2|p100|p49/p100|p52
220134	None	spindle and kinetochore associated complex subunit 1	None	None	None	None	extended	SKA1	C18orf24
79031	None	phosducin like 3	None	None	None	None	extended	PDCL3	HTPHLP|PHLP2A|PHLP3|VIAF|VIAF1
6500	None	S-phase kinase associated protein 1	None	None	None	None	extended	SKP1	EMC19|OCP-II|OCP2|SKP1A|TCEB1L|p19A
8454	None	cullin 1	None	None	None	None	extended	CUL1	-
3801	None	kinesin family member C3	None	None	None	None	extended	KIFC3	-
4174	None	minichromosome maintenance complex component 5	None	None	None	None	extended	MCM5	CDC46|P1-CDC46
4175	s	minichromosome maintenance complex component 6	0.166666666667	95	0	1	seed	MCM6	MCG40308|Mis5|P105MCM
4176	None	minichromosome maintenance complex component 7	None	None	None	None	extended	MCM7	CDC47|MCM2|P1.1-MCM3|P1CDC47|P85MCM|PNAS146|PPP1R104
4171	None	minichromosome maintenance complex component 2	None	None	None	None	extended	MCM2	BM28|CCNL1|CDCL1|D3S3194|DFNA70|MITOTIN|cdc19
4172	None	minichromosome maintenance complex component 3	None	None	None	None	extended	MCM3	HCC5|P1-MCM3|P1.h|RLFB
4173	s	minichromosome maintenance complex component 4	0.166666666667	90	0	1	seed	MCM4	CDC21|CDC54|NKCD|NKGCD|P1-CDC21|hCdc21
