geneID_A	geneID_B	origins
8666	8667	Lit-BM-13|BioPlex|CoFrac
8666	8668	Lit-BM-13|BioPlex|CoFrac|QUBIC
8666	10480	BioPlex
8666	27335	CoFrac
8667	8668	BioPlex|QUBIC
8667	84726	BioPlex
8667	10480	BioPlex|CoFrac
8667	27335	BioPlex|CoFrac
8668	84726	BioPlex|QUBIC
1981	8668	BioPlex
8668	54881	QUBIC
8668	10480	BioPlex|QUBIC
8668	27335	BioPlex|QUBIC
55697	200576	BioPlex|HI-union
55697	84461	AlHakimIP
10381	81027	BioPlex
3854	3884	HI-union
57448	57599	QUBIC
10112	140710	QUBIC
9859	23598	QUBIC
3884	23598	HI-union
11319	25953	BioPlex
5108	9859	QUBIC
5108	84461	AlHakimIP
80311	84726	BioPlex
10381	56993	BioPlex
2965	2968	CoFrac
3133	3136	BioPlex
3107	3133	BioPlex
6602	6603	BioPlex|CoFrac
6595	6602	BioPlex|CoFrac
6602	8289	BioPlex|CoFrac
6602	345651	BioPlex
6595	6603	CoFrac
6603	8289	CoFrac
1891	8826	BioPlex
1891	84461	recipIP
10600	84461	BioPlex
6595	8289	CoFrac
6595	345651	BioPlex
8239	23089	BioPlex
823	3895	BioPlex
3895	55088	QUBIC
2976	3895	QUBIC
3895	51520	QUBIC
3895	84461	AlHakimIP
9859	64397	QUBIC
9972	29843	QUBIC
23089	80184	BioPlex
54438	57148	BioPlex
5256	5257	HI-union
5257	7411	BioPlex
2314	2316	QUBIC
2316	2778	QUBIC
2316	7411	CoFrac
2316	8826	QUBIC
2314	8826	QUBIC
10382	84790	CoFrac
10381	84790	QUBIC
7266	84461	BioPlex
4134	9748	CoFrac
28988	84461	Lit-BM-13|BioPlex
1315	22820	Lit-BM-13|BioPlex|CoFrac
1314	22820	BioPlex|CoFrac|QUBIC
10985	22820	CoFrac
9276	22820	Lit-BM-13|BioPlex|CoFrac
11316	22820	Lit-BM-13|BioPlex|CoFrac
10342	10802	HI-union
79751	83733	BioPlex
8409	8725	BioPlex
2495	6406	BioPlex
2495	6407	BioPlex
427	27037	BioPlex
3835	57448	QUBIC
2778	60626	Lit-BM-13
9859	284403	QUBIC
1062	9859	QUBIC
9859	51199	BioPlex
1314	1315	Lit-BM-13|CoFrac|QUBIC
1315	10945	Lit-BM-13
1315	9276	Lit-BM-13|CoFrac
1315	11316	Lit-BM-13
1314	10985	CoFrac
1314	9276	Lit-BM-13|CoFrac|QUBIC
1314	11316	Lit-BM-13|CoFrac|QUBIC
5500	6709	QUBIC
6709	8826	QUBIC
5905	84220	CoFrac
6118	84461	AlHakimIP
10112	84461	QUBIC
25813	54927	HI-union|QUBIC
7337	10945	BioPlex
10945	51377	BioPlex
54438	253959	BioPlex
9859	23557	BioPlex|HI-union|QUBIC
3728	5500	QUBIC
5500	8826	QUBIC
427	25953	BioPlex
